"agentid","callid","customerid","pickedup","duration","productsold","agent_name"
0,7999,519,True,117,"0","Michele Williams"
0,7100,469,True,235,"0","Michele Williams"
0,3752,74,True,185,"0","Michele Williams"
0,3751,562,True,121,"0","Michele Williams"
0,6783,30,True,102,"1","Michele Williams"
0,6919,353,True,261,"0","Michele Williams"
0,2411,486,True,280,"0","Michele Williams"
0,6332,799,True,186,"0","Michele Williams"
0,1279,44,True,164,"0","Michele Williams"
0,8277,720,True,229,"0","Michele Williams"
0,9116,967,True,215,"0","Michele Williams"
0,2416,289,True,67,"0","Michele Williams"
0,395,829,True,183,"1","Michele Williams"
0,9368,81,True,154,"1","Michele Williams"
0,2624,123,True,171,"1","Michele Williams"
0,8033,595,True,110,"0","Michele Williams"
0,4240,1,True,148,"0","Michele Williams"
0,2978,857,True,215,"0","Michele Williams"
0,4567,870,True,244,"0","Michele Williams"
0,8417,260,True,214,"0","Michele Williams"
0,6928,160,True,69,"0","Michele Williams"
0,1531,428,True,199,"1","Michele Williams"
0,3002,363,True,123,"1","Michele Williams"
0,430,217,True,191,"0","Michele Williams"
0,2532,517,True,177,"1","Michele Williams"
0,4711,408,True,201,"1","Michele Williams"
0,1197,948,True,70,"1","Michele Williams"
0,947,825,True,227,"1","Michele Williams"
0,4890,170,True,75,"0","Michele Williams"
0,8660,836,True,215,"0","Michele Williams"
0,707,601,True,263,"0","Michele Williams"
0,3432,22,True,145,"0","Michele Williams"
0,7187,580,True,124,"0","Michele Williams"
0,7835,349,True,176,"0","Michele Williams"
0,7300,892,True,168,"0","Michele Williams"
0,3133,706,True,178,"0","Michele Williams"
0,5758,437,True,252,"0","Michele Williams"
0,6767,570,True,187,"0","Michele Williams"
0,3146,440,True,118,"1","Michele Williams"
0,1080,926,True,253,"0","Michele Williams"
0,6471,711,True,193,"1","Michele Williams"
0,8293,801,True,88,"0","Michele Williams"
0,7285,865,True,211,"0","Michele Williams"
0,7691,895,True,231,"1","Michele Williams"
0,2655,960,True,178,"0","Michele Williams"
0,8313,740,True,166,"0","Michele Williams"
0,6330,902,True,208,"1","Michele Williams"
0,9024,23,True,190,"0","Michele Williams"
0,5477,2,True,273,"1","Michele Williams"
0,4348,908,True,192,"1","Michele Williams"
0,7859,768,True,153,"0","Michele Williams"
0,1950,228,True,181,"0","Michele Williams"
0,5083,39,True,137,"0","Michele Williams"
0,1463,731,True,180,"0","Michele Williams"
0,220,317,True,119,"0","Michele Williams"
0,4072,1,True,187,"0","Michele Williams"
0,8058,76,True,153,"1","Michele Williams"
0,2656,4,True,121,"0","Michele Williams"
0,336,910,True,245,"0","Michele Williams"
0,3619,160,True,199,"1","Michele Williams"
0,6157,839,True,102,"0","Michele Williams"
0,7226,618,True,237,"0","Michele Williams"
0,1772,263,True,223,"0","Michele Williams"
0,4566,306,True,200,"0","Michele Williams"
0,2743,602,True,184,"0","Michele Williams"
0,8240,2,True,177,"0","Michele Williams"
0,6773,156,True,228,"1","Michele Williams"
0,2454,684,True,168,"1","Michele Williams"
0,4725,502,True,184,"0","Michele Williams"
0,185,281,True,171,"0","Michele Williams"
0,9561,437,True,197,"1","Michele Williams"
0,2434,743,True,228,"0","Michele Williams"
0,246,727,True,159,"0","Michele Williams"
0,4661,984,True,173,"0","Michele Williams"
0,5564,395,True,193,"0","Michele Williams"
0,6108,691,True,145,"0","Michele Williams"
0,4922,325,True,203,"1","Michele Williams"
0,864,280,True,83,"1","Michele Williams"
0,3528,185,True,175,"0","Michele Williams"
0,943,371,True,132,"0","Michele Williams"
0,4832,722,True,223,"0","Michele Williams"
0,6440,123,True,144,"1","Michele Williams"
0,7784,861,True,83,"0","Michele Williams"
0,6085,866,True,75,"0","Michele Williams"
0,9204,743,True,247,"0","Michele Williams"
0,7221,271,True,276,"0","Michele Williams"
0,5909,998,True,213,"0","Michele Williams"
0,6695,561,True,128,"0","Michele Williams"
0,4601,855,True,183,"0","Michele Williams"
0,7670,782,True,128,"0","Michele Williams"
0,3145,799,True,207,"0","Michele Williams"
0,2782,762,True,184,"1","Michele Williams"
0,3638,373,True,226,"0","Michele Williams"
0,339,564,True,259,"0","Michele Williams"
0,9001,54,True,206,"0","Michele Williams"
0,1093,503,True,197,"1","Michele Williams"
0,6711,677,True,79,"0","Michele Williams"
0,3445,261,True,188,"0","Michele Williams"
0,1135,262,True,178,"0","Michele Williams"
0,6956,833,True,303,"0","Michele Williams"
0,1586,544,True,289,"0","Michele Williams"
0,8999,621,True,187,"1","Michele Williams"
0,7542,839,True,141,"1","Michele Williams"
0,4132,119,True,144,"0","Michele Williams"
0,8989,746,True,197,"0","Michele Williams"
0,2078,505,True,159,"0","Michele Williams"
0,2080,264,True,170,"1","Michele Williams"
0,3297,783,True,230,"0","Michele Williams"
0,4193,465,True,170,"1","Michele Williams"
0,7828,94,True,234,"1","Michele Williams"
0,4883,940,True,128,"1","Michele Williams"
0,4483,748,True,163,"1","Michele Williams"
0,7106,549,True,205,"1","Michele Williams"
0,2822,373,True,117,"0","Michele Williams"
0,1609,489,True,153,"0","Michele Williams"
0,7834,415,True,228,"1","Michele Williams"
0,2773,473,True,171,"0","Michele Williams"
0,1105,857,True,165,"0","Michele Williams"
0,7462,239,True,230,"1","Michele Williams"
0,729,618,True,239,"0","Michele Williams"
0,5857,521,True,96,"1","Michele Williams"
0,2308,750,True,176,"0","Michele Williams"
0,8656,376,True,216,"0","Michele Williams"
0,1258,608,True,146,"0","Michele Williams"
0,1948,357,True,156,"0","Michele Williams"
0,1464,200,True,209,"0","Michele Williams"
0,1603,203,True,129,"1","Michele Williams"
0,8892,425,True,91,"1","Michele Williams"
0,6600,900,True,220,"0","Michele Williams"
0,8219,209,True,138,"0","Michele Williams"
0,8341,65,True,130,"1","Michele Williams"
0,4306,711,True,147,"0","Michele Williams"
0,1634,709,True,172,"1","Michele Williams"
0,9115,740,True,115,"0","Michele Williams"
0,6932,964,True,95,"0","Michele Williams"
0,6230,334,True,270,"0","Michele Williams"
0,7936,380,True,129,"0","Michele Williams"
0,4313,394,True,192,"0","Michele Williams"
0,8231,876,True,170,"1","Michele Williams"
0,3469,928,True,207,"0","Michele Williams"
0,8354,736,True,240,"0","Michele Williams"
0,393,539,True,210,"0","Michele Williams"
0,6051,979,True,120,"1","Michele Williams"
0,798,486,True,126,"0","Michele Williams"
0,1760,857,True,205,"0","Michele Williams"
0,8957,465,True,220,"0","Michele Williams"
0,3561,260,True,208,"0","Michele Williams"
0,7598,205,True,197,"0","Michele Williams"
0,4738,873,True,174,"0","Michele Williams"
0,3930,439,True,164,"1","Michele Williams"
0,3647,397,True,209,"0","Michele Williams"
0,934,925,True,114,"0","Michele Williams"
0,2027,71,True,226,"0","Michele Williams"
0,9473,543,True,141,"1","Michele Williams"
0,6152,86,True,245,"1","Michele Williams"
0,9026,721,True,95,"0","Michele Williams"
0,6556,290,True,111,"0","Michele Williams"
0,7534,407,True,235,"1","Michele Williams"
0,3216,696,True,114,"0","Michele Williams"
0,7904,504,True,206,"0","Michele Williams"
0,5082,169,True,161,"1","Michele Williams"
0,9121,388,True,135,"0","Michele Williams"
0,5837,788,True,166,"0","Michele Williams"
0,592,916,True,150,"0","Michele Williams"
0,6937,652,True,203,"0","Michele Williams"
0,9125,770,True,133,"0","Michele Williams"
0,9251,648,True,135,"0","Michele Williams"
0,5719,711,True,225,"1","Michele Williams"
0,6094,510,True,175,"0","Michele Williams"
0,1408,493,True,156,"0","Michele Williams"
0,1373,58,True,270,"0","Michele Williams"
0,8243,20,True,211,"0","Michele Williams"
0,9141,954,True,241,"1","Michele Williams"
0,3642,806,True,114,"0","Michele Williams"
0,4537,531,True,226,"0","Michele Williams"
0,9771,955,True,207,"0","Michele Williams"
0,7602,149,True,132,"0","Michele Williams"
0,9513,998,True,172,"0","Michele Williams"
0,8778,202,True,126,"0","Michele Williams"
0,9023,480,True,189,"1","Michele Williams"
0,5820,517,True,172,"0","Michele Williams"
0,1793,250,True,167,"1","Michele Williams"
0,373,26,True,134,"0","Michele Williams"
0,1830,420,True,179,"0","Michele Williams"
0,4626,900,True,166,"0","Michele Williams"
0,7572,738,True,134,"0","Michele Williams"
0,1106,28,True,253,"0","Michele Williams"
0,6724,575,True,149,"0","Michele Williams"
0,8026,807,True,85,"0","Michele Williams"
0,5832,570,True,282,"0","Michele Williams"
0,4639,992,True,272,"0","Michele Williams"
0,3547,456,True,190,"0","Michele Williams"
0,5368,778,True,199,"0","Michele Williams"
0,1727,429,True,168,"0","Michele Williams"
0,3308,532,True,150,"1","Michele Williams"
0,6863,211,True,229,"0","Michele Williams"
0,3758,456,True,220,"0","Michele Williams"
0,7350,539,True,206,"0","Michele Williams"
0,6868,833,True,172,"0","Michele Williams"
0,9766,489,True,146,"1","Michele Williams"
0,7318,763,True,247,"0","Michele Williams"
0,9137,817,True,231,"0","Michele Williams"
0,118,781,True,249,"0","Michele Williams"
0,1822,281,True,141,"0","Michele Williams"
0,284,60,True,237,"0","Michele Williams"
0,4296,318,True,166,"0","Michele Williams"
0,1259,811,True,288,"1","Michele Williams"
0,6594,37,True,180,"0","Michele Williams"
0,659,506,True,103,"1","Michele Williams"
0,1628,940,True,156,"0","Michele Williams"
0,1510,38,True,177,"0","Michele Williams"
0,7369,32,True,128,"1","Michele Williams"
0,8462,829,True,54,"0","Michele Williams"
0,7614,181,True,92,"0","Michele Williams"
0,9077,617,True,152,"0","Michele Williams"
0,424,679,True,62,"1","Michele Williams"
0,1883,236,True,130,"1","Michele Williams"
0,5537,105,True,145,"0","Michele Williams"
0,8474,80,True,175,"1","Michele Williams"
0,5166,290,True,94,"1","Michele Williams"
0,3712,757,True,205,"0","Michele Williams"
0,1888,954,True,159,"0","Michele Williams"
0,5803,72,True,204,"1","Michele Williams"
0,8481,943,True,164,"0","Michele Williams"
0,9590,962,True,125,"1","Michele Williams"
0,5174,260,True,186,"0","Michele Williams"
0,8242,253,True,217,"1","Michele Williams"
0,9176,277,True,226,"0","Michele Williams"
0,2792,332,True,170,"0","Michele Williams"
0,526,950,True,117,"0","Michele Williams"
0,7843,871,True,263,"0","Michele Williams"
0,3686,646,True,184,"0","Michele Williams"
0,3360,543,True,67,"1","Michele Williams"
0,447,722,True,210,"1","Michele Williams"
0,2998,119,True,200,"1","Michele Williams"
0,2636,733,True,205,"1","Michele Williams"
0,1543,538,True,280,"0","Michele Williams"
0,697,933,True,99,"0","Michele Williams"
0,9479,624,True,172,"1","Michele Williams"
0,7044,671,True,176,"1","Michele Williams"
0,4828,481,True,216,"0","Michele Williams"
0,5571,824,True,171,"0","Michele Williams"
0,2643,192,True,134,"0","Michele Williams"
0,1795,174,True,216,"1","Michele Williams"
0,6318,689,True,120,"0","Michele Williams"
0,6283,425,True,149,"0","Michele Williams"
0,1071,463,True,111,"1","Michele Williams"
0,2287,841,True,163,"0","Michele Williams"
0,5580,636,True,184,"0","Michele Williams"
0,8877,435,True,147,"0","Michele Williams"
0,4476,668,True,230,"1","Michele Williams"
0,469,144,True,170,"0","Michele Williams"
0,835,312,True,128,"0","Michele Williams"
0,1199,29,True,193,"0","Michele Williams"
0,5966,683,True,111,"0","Michele Williams"
0,3993,40,True,112,"0","Michele Williams"
0,475,111,True,82,"0","Michele Williams"
0,3271,693,True,151,"0","Michele Williams"
0,2542,478,True,206,"1","Michele Williams"
0,3516,520,True,190,"1","Michele Williams"
0,1210,766,True,197,"1","Michele Williams"
0,117,218,True,267,"0","Michele Williams"
0,645,760,True,150,"0","Michele Williams"
0,811,26,True,163,"0","Michele Williams"
0,852,53,True,171,"0","Michele Williams"
